%time,field.header.seq,field.header.stamp,field.header.frame_id,field.hardware_id,field.mcu_uptime,field.connection_uptime,field.drivers_active,field.driver_external_stop_present,field.driver_external_stop_stopped,field.measured_battery,field.measured_12v,field.measured_5v,field.drive_current,field.user_current,field.computer_current,field.total_current,field.total_current_peak,field.total_power_consumed
1598045827657125824,0,1598045827658687292,base_link,0.3.9,5248000000000,0,1,0,0,27.2880058289,11.9667654037,5.01909828186,2.94156336784,0.78118211031,1.21177411079,4.93451976776,-1.0,-1.0
1598045828659109372,0,1598045828658687292,base_link,0.3.9,5249000000000,0,1,0,0,27.1944599152,11.9628744125,5.0196352005,4.07486152649,0.772827208042,1.14344871044,5.99113750458,-1.0,-1.0
1598045829661212139,0,1598045829658687292,base_link,0.3.9,5250000000000,0,1,0,0,27.2358169556,11.9689283371,5.02214193344,2.88785243034,0.778795003891,1.14433801174,4.81098556519,-1.0,-1.0
1598045830656778078,0,1598045830659705548,base_link,0.3.9,5251000000000,0,1,0,0,27.1314373016,11.9680633545,5.02106761932,2.56379699707,0.809827446938,2.4660847187,5.83970928192,-1.0,-1.0
1598045831664840747,0,1598045831659705548,base_link,0.3.9,5252000000000,0,1,0,0,27.2111988068,11.9689283371,5.02124643326,1.9103153944,0.793714404106,1.9104411602,4.61447095871,-1.0,-1.0
1598045832661033003,0,1598045832660785625,base_link,0.3.9,5253000000000,0,1,0,0,27.2486190796,11.9637393951,5.02088880539,2.13500547409,0.769246637821,1.19784224033,4.10209465027,-1.0,-1.0
1598045833657759044,0,1598045833660785625,base_link,0.3.9,5254000000000,0,1,0,0,27.3214855194,11.9706573486,5.02339506149,1.46308302879,0.761488437653,1.10940468311,3.33397626877,-1.0,-1.0
1598045834660198602,0,1598045834660785625,base_link,0.3.9,5255000000000,0,1,0,0,27.2932243347,11.9682369232,5.02250003815,1.68061196804,0.761070728302,1.2258541584,3.66753673553,-1.0,-1.0
1598045835661679433,0,1598045835655891350,base_link,0.3.9,5256000000000,0,1,0,0,27.2834777832,11.9686250687,5.02169418335,1.62099289894,0.801353216171,1.32709717751,3.74944329262,-1.0,-1.0
1598045836657568049,0,1598045836655891350,base_link,0.3.9,5257000000000,0,1,0,0,27.2320747375,11.9674577713,5.02040529251,2.04638266563,0.777183711529,1.60561537743,4.42918205261,-1.0,-1.0
1598045837659258091,0,1598045837656949321,base_link,0.3.9,5258000000000,0,1,0,0,27.2817020416,11.9662904739,5.02024412155,1.85302376747,0.761070728302,1.12594497204,3.7400393486,-1.0,-1.0
1598045838660977510,0,1598045838656949321,base_link,0.3.9,5259000000000,0,1,0,0,27.2368011475,11.9710893631,5.02196311951,1.75634419918,0.78476279974,1.75393033028,4.29503726959,-1.0,-1.0
1598045839657924081,0,1598045839656949321,base_link,0.3.9,5260000000000,0,1,0,0,27.2889900208,11.9706573486,5.02196311951,1.71337556839,0.779988586903,1.09468734264,3.58805155754,-1.0,-1.0
1598045840659366135,0,1598045840663858234,base_link,0.3.9,5261000000000,0,1,0,0,27.3313331604,11.9659013748,5.01927709579,1.35530328751,0.767456233501,1.11247265339,3.23523211479,-1.0,-1.0
1598045841661251432,0,1598045841663858234,base_link,0.3.9,5262000000000,0,1,0,0,27.2456626892,11.9680633545,5.02214193344,2.09472227097,0.756117403507,1.11632609367,3.96716570854,-1.0,-1.0
1598045842657411698,0,1598045842658791355,base_link,0.3.9,5263000000000,0,1,0,0,27.1855983734,11.9715213776,5.02285766602,1.14941179752,0.806246817112,2.6320810318,4.58773946762,-1.0,-1.0
1598045843659206779,0,1598045843658791355,base_link,0.3.9,5264000000000,0,1,0,0,27.2712650299,11.9637393951,5.02088880539,1.76350569725,0.782375693321,1.16997849941,3.71585988998,-1.0,-1.0
1598045844661202005,0,1598045844658791355,base_link,0.3.9,5265000000000,0,1,0,0,27.277173996,11.9624423981,5.02008295059,1.72250640392,0.748717367649,1.11940896511,3.5906329155,-1.0,-1.0
1598045845663196040,0,1598045845659784679,base_link,0.3.9,5266000000000,0,1,0,0,27.2329597473,11.9600639343,5.01992177963,1.89008402824,0.795445144176,1.38592207432,4.07145118713,-1.0,-1.0
1598045846659110508,0,1598045846659784679,base_link,0.3.9,5267000000000,0,1,0,0,27.2524585724,11.9620103836,5.01992177963,1.58393239975,0.77073854208,1.35737669468,3.7120475769,-1.0,-1.0
1598045847661092582,0,1598045847661193513,base_link,0.3.9,5268000000000,0,1,0,0,27.3118362427,11.9709606171,5.02185535431,1.21977305412,0.77073854208,1.44861543179,3.43912696838,-1.0,-1.0
1598045848657787424,0,1598045848661193513,base_link,0.3.9,5269000000000,0,1,0,0,27.2722492218,11.9624423981,5.02178382874,1.93896114826,0.809827446938,1.11084234715,3.85963106155,-1.0,-1.0
1598045849659357111,0,1598045849661193513,base_link,0.3.9,5270000000000,0,1,0,0,27.3244400024,11.9667654037,5.02178382874,1.38752985001,0.760294914246,1.07808768749,3.22591257095,-1.0,-1.0
1598045850667931155,0,1598045850655878018,base_link,0.3.9,5271000000000,0,1,0,0,27.2289237976,11.9715213776,5.02214193344,1.84049117565,0.763278841972,1.40385568142,4.00762557983,-1.0,-1.0
