%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.x,field.pose.y,field.pose.theta,field.map
1598045792198148154,129708,1598045792197873592,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792238451890,129709,1598045792238062143,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792278765868,129710,1598045792278450727,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792318947709,129711,1598045792318610191,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792379444644,129712,1598045792379095078,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792419846119,129713,1598045792419301987,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792439927411,129714,1598045792439444542,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792500543754,129715,1598045792500061750,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792540710280,129716,1598045792540288925,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792581272606,129717,1598045792580816746,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792621490517,129718,1598045792621052027,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792682105383,129719,1598045792681660175,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792722260844,129720,1598045792721837521,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792742221728,129721,1598045792741926908,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792782740171,129722,1598045792782322884,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792842840159,129723,1598045792842590332,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792883251144,129724,1598045792882980108,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792923417174,129725,1598045792923156023,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045792963797409,129726,1598045792963486433,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793023992919,129727,1598045793023742914,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793044138340,129728,1598045793043831587,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793084581923,129729,1598045793084234953,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793144729353,129730,1598045793144471884,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793185009251,129731,1598045793184768438,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793225250705,129732,1598045793224925518,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793265600456,129733,1598045793265131950,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793326023946,129734,1598045793325776577,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793346055692,129735,1598045793345858574,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793386398072,129736,1598045793386182547,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793446819919,129737,1598045793446462154,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793487217440,129738,1598045793486908674,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793527477532,129739,1598045793527084112,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793567672305,129740,1598045793567300320,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793608140372,129741,1598045793607747555,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793628156789,129742,1598045793627858400,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793648313858,129743,1598045793647979259,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793688770459,129744,1598045793688411713,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793728867428,129745,1598045793728579044,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793789413720,129746,1598045793789053679,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793829567235,129747,1598045793829252243,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793869831225,129748,1598045793869448423,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793910231337,129749,1598045793909901619,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793950517201,129750,1598045793950091839,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793970606890,129751,1598045793970220566,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045793990818385,129752,1598045793990570307,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794031054999,129753,1598045794030737400,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794071308910,129754,1598045794071039915,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794111517594,129755,1598045794111246586,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794171797701,129756,1598045794171528578,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794212315327,129757,1598045794211977005,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794252889625,129758,1598045794252239466,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794292907196,129759,1598045794292676449,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794313026844,129760,1598045794312799215,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794333141261,129761,1598045794332881927,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794373350501,129762,1598045794373085976,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794413816001,129763,1598045794413465261,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794453925403,129764,1598045794453656197,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794514458691,129765,1598045794514166832,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794554642271,129766,1598045794554360151,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794595067838,129767,1598045794594723463,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794615189165,129768,1598045794614816666,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794635180201,129769,1598045794634906769,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794675355475,129770,1598045794675063133,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794715736523,129771,1598045794715436935,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794775949098,129772,1598045794775689840,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794816447002,129773,1598045794816118240,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794856859922,129774,1598045794856301546,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794876810865,129775,1598045794876416683,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794896916855,129776,1598045794896705389,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794937203012,129777,1598045794936905146,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045794977335836,129778,1598045794977109909,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795017687903,129779,1598045795017490387,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795058087152,129780,1598045795057708025,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795098547245,129781,1598045795098207474,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795158879675,129782,1598045795158508062,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795199287712,129783,1598045795198931932,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795219350744,129784,1598045795219026089,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795279561780,129785,1598045795279251814,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795320019827,129786,1598045795319662333,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795360186567,129787,1598045795359824419,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795400555843,129788,1598045795400223494,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795460774531,129789,1598045795460510254,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795501227777,129790,1598045795500900507,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795521407971,129791,1598045795521025419,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795581653668,129792,1598045795581267595,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795621964686,129793,1598045795621630669,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795662164910,129794,1598045795661869287,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795702599039,129795,1598045795702235937,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795742735762,129796,1598045795742411852,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795783113584,129797,1598045795782798290,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795843440240,129798,1598045795843094349,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795863500850,129799,1598045795863187313,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795903960057,129800,1598045795903621674,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045795964131819,129801,1598045795963847637,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796004517898,129802,1598045796004225016,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796045025864,129803,1598045796044503212,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796085287628,129804,1598045796084754944,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796125437060,129805,1598045796125134706,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796185980411,129806,1598045796185387850,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796206342813,129807,1598045796205964327,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796246427780,129808,1598045796246147156,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796286742702,129809,1598045796286466122,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796347036478,129810,1598045796346727371,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796387226800,129811,1598045796386897802,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796427617672,129812,1598045796427314997,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796467933224,129813,1598045796467541933,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796528353672,129814,1598045796527993202,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796548413926,129815,1598045796548107386,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796588748459,129816,1598045796588330030,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796629015084,129817,1598045796628715754,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796689244665,129818,1598045796688949347,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796729595196,129819,1598045796729346514,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796770047098,129820,1598045796769533396,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796810542136,129821,1598045796810075760,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796850582801,129822,1598045796850279093,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796870683152,129823,1598045796870401621,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796890772644,129824,1598045796890496016,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796931166830,129825,1598045796930850983,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045796971588028,129826,1598045796971071959,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797011998210,129827,1598045797011540651,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797072111640,129828,1598045797071796179,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797112404406,129829,1598045797112120628,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797152903724,129830,1598045797152411699,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797173040654,129831,1598045797172555447,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797193059029,129832,1598045797192701578,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797233276344,129833,1598045797233048201,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797273411948,129834,1598045797273192883,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797313683711,129835,1598045797313476324,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797374142548,129836,1598045797373753309,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797414638276,129837,1598045797414227962,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797454842427,129838,1598045797454453468,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797495063112,129839,1598045797494670153,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797515426218,129840,1598045797515060663,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797535561771,129841,1598045797535202980,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797575800331,129842,1598045797575376034,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797616305712,129843,1598045797615938187,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797656473158,129844,1598045797656149387,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797696795567,129845,1598045797696349621,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797757171913,129846,1598045797756926060,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
1598045797797546467,129847,1598045797797122240,map,-3.50625967979,-45.69688797,-0.829731762409,UT_Campus
