%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1602701738984967182,2175,1602701738984967182,,30.2879521899,-97.7376982558,-0.201251089573
1602701739025238911,2176,1602701739025238911,,30.2879521899,-97.7376982558,-0.201251089573
1602701739085760686,2177,1602701739085760686,,30.2879520175,-97.7376977847,-0.217049181461
1602701739125882966,2178,1602701739125882966,,30.2879518344,-97.7376973141,-0.237093985081
1602701739167653998,2179,1602701739167653998,,30.2879516391,-97.7376968411,-0.258667528629
1602701739207785553,2180,1602701739207785553,,30.2879521094,-97.7376971201,-0.275797247887
1602701739228573293,2181,1602701739228573293,,30.2879521094,-97.7376971201,-0.275797247887
1602701739248751724,2182,1602701739248751724,,30.2879519031,-97.7376966644,-0.296351790428
1602701739289174154,2183,1602701739289174154,,30.2879516906,-97.737696214,-0.314697623253
1602701739329352340,2184,1602701739329352340,,30.2879516906,-97.737696214,-0.314697623253
1602701739389776755,2185,1602701739389776755,,30.2879514716,-97.7376957661,-0.330495715141
1602701739429835835,2186,1602701739429835835,,30.2879512473,-97.7376953235,-0.346633791924
1602701739471688985,2187,1602701739471688985,,30.2879510162,-97.7376948847,-0.363111376762
1602701739511808761,2188,1602701739511808761,,30.2879509884,-97.7376945886,-0.376558542252
1602701739532033113,2189,1602701739532033113,,30.2879509884,-97.7376945886,-0.376558542252
1602701739552057736,2190,1602701739552057736,,30.2879507456,-97.7376941569,-0.393206357956
1602701739592446370,2191,1602701739592446370,,30.287950497,-97.7376937305,-0.409343957901
1602701739632595760,2192,1602701739632595760,,30.287950497,-97.7376937305,-0.409343957901
1602701739672822270,2193,1602701739672822270,,30.2879502427,-97.7376933095,-0.42582154274
1602701739733154584,2194,1602701739733154584,,30.2879499827,-97.737692893,-0.4414498806
1602701739774605118,2195,1602701739774605118,,30.2879497158,-97.7376924798,-0.458266973495
1602701739814569834,2196,1602701739814569834,,30.2879496277,-97.7376922513,-0.474863290787
1602701739834875384,2197,1602701739834875384,,30.2879496277,-97.7376922513,-0.474863290787
1602701739854826774,2198,1602701739854826774,,30.28794935,-97.7376918505,-0.49117064476
1602701739895115795,2199,1602701739895115795,,30.28794935,-97.7376918505,-0.49117064476
1602701739935996804,2200,1602701739935996804,,30.2879490672,-97.7376914549,-0.507308721542
1602701739976123802,2201,1602701739976123802,,30.2879487779,-97.7376910636,-0.523786306381
1602701740036104319,2202,1602701740036104319,,30.2879484785,-97.7376906731,-0.540943384171
1602701740077398715,2203,1602701740077398715,,30.2879481775,-97.7376902934,-0.557930231094
1602701740097277427,2204,1602701740097277427,,30.2879481269,-97.737690191,-0.576308071613
1602701740157691721,2205,1602701740157691721,,30.2879478144,-97.7376898232,-0.593125164509
1602701740197957061,2206,1602701740197957061,,30.2879474972,-97.7376894633,-0.610282242298
1602701740238513537,2207,1602701740238513537,,30.2879474972,-97.7376894633,-0.610282242298
1602701740278839640,2208,1602701740278839640,,30.2879471747,-97.7376891091,-0.627099812031
1602701740319045170,2209,1602701740319045170,,30.2879468475,-97.7376887623,-0.644596397877
1602701740360707050,2210,1602701740360707050,,30.2879465163,-97.7376884219,-0.661073982716
1602701740420439585,2211,1602701740420439585,,30.2879460151,-97.7376883071,-0.678818106651
1602701740441273756,2212,1602701740441273756,,30.2879456717,-97.7376879788,-0.695975184441
1602701740501337154,2213,1602701740501337154,,30.2879453241,-97.7376876581,-0.71313226223
1602701740541596065,2214,1602701740541596065,,30.2879453241,-97.7376876581,-0.71313226223
1602701740581777125,2215,1602701740581777125,,30.2879449729,-97.7376873455,-0.730459094048
1602701740622017301,2216,1602701740622017301,,30.287944616,-97.7376870379,-0.746766448021
1602701740663878529,2217,1602701740663878529,,30.2879442544,-97.7376867376,-0.763753771782
1602701740703835943,2218,1602701740703835943,,30.2879438881,-97.7376864445,-0.780910849571
1602701740723857812,2219,1602701740723857812,,30.2879439948,-97.737686545,-0.781712532043
